paper_id,formula_json
2001.00003,"{0: '    e(n) =  \\cdot \\sum_{p \\in \\mathbb{P}} \\alpha \\cdot sim(n, p)  \\cdot e(p), \\ \\ \\ \\ \\    \\sum_{p \\in \\mathbb{P}} \\alpha \\cdot sim(n, p) = 1    \\label{eqa:product}', 1: '    f(x)=    \\begin{cases} \\log(x)+1, & \\mathrm{if\\ \\  }  x > 1 \\\\ x, &  \\mathrm{if\\ \\  }  x \\in [-1,1]  \\\\ -\\log(-x)-1, & \\mathrm{if\\ \\  }  x < -1    \\end{cases}    \\label{equation:squash}', 2: '    p(U = n) = \\sum_{k=1}^m P(Z=k) P(U=n|Z = k)     = \\sum_{k=1}^m \\pi_k \\mathcal{N}(n;\\mu_k, \\sigma_k^2)    ', 3: '    sim(p, n) = |g(p)-g(n)|^{-\\beta},\\ \\ \\ \\ \\ \\ \\beta > 0,\\  p \\in \\mathbb{P}', 4: '        sim(p_k, n) \\propto  P(Z = k|U=n)  =          \\frac{\\pi_k \\mathcal{N}(n;\\mu_k,\\sigma_k^2)}{\\sum_{k=1}^m \\pi_k \\mathcal{N}(n;\\mu_k, \\sigma_k^2)} \\ , \\ \\ \\ \\ \\ p_k \\in \\mathbb{P}', 5: '\\log p(x_{t+j}|x_t) \\approx \\log \\sigma({v^o_{x_{t+j}}}^T v^i_{x_t}) + \\sum_{i=1}^k \\mathop{\\mathbb{E}}_{x_i \\sim P_{n}(x)}[\\log \\sigma(-{v^o_{x_{i}}}^T v^i_{x_t})]\\label{eqa:objective}', 6: '        \\mathbf{S_A}(n) = \\sum_j \\log p(c_j | n)  \\approx  \\sum_j \\log{\\frac{e^{s(c_j| n)}}{\\sum_{c_k \\in \\mathbb{V}_t} e^{s(c_k| n)}}}         =  \\sum_j s(c_j| n) - \\sum_j \\log{Z(n)}', 7: '        \\mathbf{S_B}(n) = \\sum_j \\log p(n | c_j)  \\approx \\sum_j \\log{\\frac{e^{s(n | c_j)}}{\\sum_{n_k \\in \\mathbb{V}_n} e^{s(n_k| c_j)}}}         =  \\sum_j s(n| c_j) - \\mathrm{Constant}  ', 8: '    e_i = n_i - \\hat{n}, \\qquad pe_i = \\frac{n_i - \\hat{n}_i}{n_i}', 9: '        MdAE = \\mathrm{median}\\{|e_i|\\}  , \\qquad        MdAPE = \\mathrm{median}\\{|pe_i|\\} , \\qquad        AVGR = \\overline{ r_i }'}"
2001.00004,{}
2001.00006,"{0: '\\label{eq:ConvOpt}    \\begin{array}{rrcll}        \\underset{\\mathbf{x}}{\\mathrm{maximise}} & R({\\mathbf x}) & & & \\\\        & & & & \\\\        \\rm{subject\\ to} & g_{i}({\\mathbf x}) & \\leq & 0, & i = 1, \\ldots m \\\\        & h_{i}({\\mathbf x}) & = & 0, & i = 1, \\ldots p \\\\    \\end{array}'}"
2001.00008,"{0: 'J(\\theta) = \\mathbb{E}_{a\\sim \\pi_\\theta (\\cdot)}[R(a)],', 1: '\\label{eq:burgers}\\frac{\\partial u}{\\partial t} = -u\\frac{\\partial u}{\\partial x} + \\nu \\frac{\\partial^2 u}{ \\partial x^2},', 2: '\\label{eq:burgersM}  \\frac{\\partial u}{\\partial t} =  -\\frac{1}{2}u\\frac{\\partial u}{\\partial x} + \\nu \\frac{\\partial^2 u}{ \\partial x^2} +M, ', 3: '    R_i = \\frac{1}{||u_{\\mathrm{exact}}(x,T)-u_{\\mathrm{model},i}(x,T)||+\\epsilon} + \\frac{\\epsilon^{-1}}{n},'}"
2001.00009,"{0: '\\nabla_\\theta J(\\theta) = \\mathbb{E}[\\sum_{t=0}^{T-1} \\nabla_\\theta log (\\pi_\\theta (a_t|s_t)) Q_{\\pi_{\\theta}}(s_t,a_t)]', 1: '\\theta = \\theta + \\alpha_{\\theta} \\nabla_\\theta J(\\theta)', 2: '\\nabla_\\theta J(\\theta) = \\mathbb{E}[\\sum_{t=0}^{T-1} \\nabla_\\theta log( \\pi_{\\theta} (a_t|s_t)) A(s_t,a_t)]', 3: ' \\mathcal{L}_{critic} = \\frac{1}{2T} \\sum_{t=0}^{T-1} A(s_t,a_t) ', 4: ' \\mathcal{L}_{actor} = - \\frac{1}{2T} \\sum_{t=0}^{T-1} log( \\pi_{\\theta} (a_t|s_t)) A(s_t,a_t)', 5: ' \\mathcal{L}_{a2c} = \\mathcal{L}_{actor} + \\mathcal{L}_{critic} + \\beta \\mathcal{L}_{entropy}'}"
2001.00046,"{0: ' \\begin{array}{lcl} \\TA_{(1)} & := & [\\MA^{(1)},\\ldots, \\MA^{(n)}] \\\\                         \\TA_{(2)} & := & [(\\MA^{(1)})^\\top,\\ldots, (\\MA^{(n)})^\\top] \\\\  \\TA_{(3)} & := & [\\sq{ \\TA_{:,1,:}}^\\top, \\sq{ \\TA_{:,2,:}}^\\top, \\ldots , \\sq{\\TA_{:,p,:}}^\\top ]  \\end{array} ', 1: ' \\label{eq:hosvdfull} \\TA = \\TC \\times_1 \\MU \\times_2 \\MV \\times_3 \\MW, ', 2: ' \\label{eq:block} \\MM \\TA_{(3)} =  [\\MM \\, \\sq{\\TA_{:,1,:}}^\\top, \\MM \\, \\sq{\\TA_{:,2,:}}^{\\top}, ... , \\MM \\, \\sq{\\TA_{:,p,:}}^{\\top} ] , ', 3: ' \\label{eq:kronunfold} \\Fold{(\\MM \\otimes \\M{I})\\Unfold{\\TA} }.', 4: ' \\label{eq:norm} \\| \\widehat{\\TB} \\|_F = \\| \\TB \\starM \\MM \\|_F = \\| c \\M{W} \\TB_{(3)} \\|_F = c \\| \\TB_{(3)} \\|_F = c \\| \\TB \\|_F. ', 5: ' \\label{eq:TSVDMr}%\\TA   = \\TU \\starM \\TS \\starM \\TV^{\\top}\\TA   = \\TU \\starM \\TS \\starM \\TV^{\\rm H}          =  \\sum_{i=1}^{r} \\TU_{:,i,:} \\starM \\TS_{i,i,:} \\starM \\TV_{:,i,:}^{\\rm H}                   ', 6: ' \\label{eq:mytwist}  \\mbox{\\tt twist}[\\left( ( \\MM^{-1} \\mbox{\\tt diag}(\\MM \\, \\V{c}_{(3)}) \\MM \\, \\V{v}_{(3)} \\right)^{\\top}]  =  \\mbox{\\tt twist}[ {\\V{v}_{(3)}}^\\top \\MM^\\top \\mbox{\\tt diag} (\\hat{\\V{c}}) \\MM^{-\\top}] ', 7: '  \\label{eq:flat} \\sq{\\vec{\\TQ}} = \\sq{\\vec{\\TB}} \\left( \\MM^{\\top} \\mbox{\\tt diag}( \\hat{\\V{c}} ) \\MM^{-\\top} \\right). ', 8: ' \\label{eq:latslice} \\sq{\\TA_{:,k,:} }  = \\sum_{i=1}^{t} \\sq{\\T{U}_{:,i,:} } \\MR[\\T{C}_{i,k,:}],                                                     =  \\sum_{i=1}^{t} \\M{U}_i \\MR[\\T{C}_{i,k,:}].  ,', 9: ' \\label{eq:tall} \\widehat{\\TA}_{:,:,i} = \\sum_{j=1}^n m_{ij} \\TA_{:,:,j} = \\sum_{j=1}^n m_{ij} \\M{G}_{(j-1)m+jm,:} \\M{H}^\\top= (\\sum_{j=1}^n m_{ij} \\M{G}_{j-1)m + jm,:}) \\M{H}^\\top. ', 10: ' \\label{eq:akcol} \\M{C} = {\\bf \\Sigma} \\MV^\\top,  \\qquad \\MA_k := \\MU_{:,1:k} \\M{C}_{1:k,:} \\Rightarrow (\\MA_k)_{:,j} = \\sum_{i=1}^k \\MU_{:,i} c_{ij} . ', 11: ' \\label{eq:cols}  \\mbox{\\tt reshape}( (\\M{A}_k)_{:,j},[m,n]) = \\sum_{i=1}^k \\mbox{\\tt reshape}(\\M{U}_{:,i},[m,n]) c_{ij}, \\qquad j=1,\\ldots,k. ', 12: ' \\label{eq:colstwo} \\mbox{\\tt reshape}((\\M{A}_k)_{:,j}) = \\sum_{i=1}^k \\mbox{\\tt reshape}(\\M{U}_{:,i}) \\MR[ \\V{c}_{ij}], \\qquad j=1,\\ldots,k.', 13: ' \\label{eq:convexII} \\TA_{\\bfrho,\\bfdel} = \\alpha \\TA_{\\bfrho} + (1-\\alpha) (\\TA^{\\tp}_{\\bfdel})^{\\tp}, ', 14: ' \\label{eq:errII} \\| \\TA - \\TA_{\\bfrho,\\bfdel} \\|_F^2 = \\alpha^2 \\sum_{i=1}^{n} \\sum_{j=\\rho_i+1}^{r_i}  (\\hat{\\sigma}_{j}^{(i)})^2+ (1-\\alpha)\\sum_{k=1}^{m} \\sum_{j=\\delta_k+1}^{\\tilde{r}_k} (\\tilde{\\sigma}_{j}^{(k)})^2 ,', 15: ' \\label{eq:ty}  \\TA_{k,q} :=  \\TU_k \\starM (\\TW_q \\starB \\TG)^{\\tp} = \\TU_k \\starM \\left( \\TW_q \\starB \\TW_q^{\\rm H} \\starB (\\TU_k ^{\\rm H} \\starM \\TA)^{\\tp} \\right)^{\\tp} .'}"
2001.00047,"{0: ""{\\label{H_T}}  U^{\\min}_T(\\mathcal{E}_{\\mathcal{Z},H_T})\\equiv   R^{\\min}_{T}(\\mathcal{E}_{\\mathcal{Z},H_T})\\equiv X_r^T (\\mathcal{E}_{\\mathcal{Z},H_T})\\cdot w > \\dfrac{p\\cdot q \\cdot t'}{1+p \\cdot q \\cdot t'}\\cdot r\\cdot (1-\\delta_1)\\cdot w> 0"", 1: "" {\\label{ber}}Pr[X^T_r(\\mathcal{E}_{\\mathcal{Z},H_T}) > (1-\\delta_1)\\cdot( 1-(1-p)^{qt'})\\cdot r]\\geq 1-e^{-\\dfrac{(\\delta_1)^2 \\cdot( 1-(1-p)^{qt'})\\cdot r}{2}}"", 2: ""{\\label{bound}}(1-\\delta_1)\\cdot( 1-(1-p)^{qt'})\\cdot r\\geq \\dfrac{p\\cdot q \\cdot t'}{1+p \\cdot q \\cdot t'}\\cdot r\\cdot (1-\\delta_1)"", 3: ""{\\label{bad}}   U^{\\max}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}}) \\leq Z_r(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})\\cdot w <p\\cdot q\\cdot t'\\cdot r\\cdot (1+\\delta_1)\\cdot w  "", 4: ""{\\label{adrew}} Pr[Z_r(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})< p\\cdot( q\\cdot t'-x)\\cdot r\\cdot (1+\\delta_1)]\\geq 1-e^{-\\dfrac{(\\delta_1)^2\\cdot p\\cdot (q\\cdot t'-x)\\cdot r}{3}}"", 5: "" {\\label{final}}U^{\\max}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}}) \\leq U^{\\min}_T(\\mathcal{E}_{\\mathcal{Z},H_T})\\cdot (1+4\\cdot \\delta_1 +(1+4\\cdot\\delta_1)\\cdot s) "", 6: ""{\\label{H_Tsec}}U^{\\max}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})<p\\cdot (q\\cdot t'-x)\\cdot r\\cdot (1+\\delta_1)\\cdot w- c\\cdot (q \\cdot t'  -x)\\cdot r"", 7: ""{\\label{badfinal}}U^{\\max}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})< p\\cdot q\\cdot t'\\cdot r\\cdot (1+\\delta_1)\\cdot w- c\\cdot q \\cdot t' \\cdot r "", 8: ""{\\label{third' H_T}}0<R^{\\max}_{T}(\\mathcal{E}_{\\mathcal{Z},H_T})< p\\cdot q\\cdot t' \\cdot(1+\\delta_2)\\cdot w \\cdot r."", 9: ""R^{\\min}_T(\\mathcal{E'}_{\\mathcal{Z},A_0}) \\geq p \\cdot q \\cdot t' \\cdot r \\cdot (1-\\delta_1)\\cdot w \\cdot (1-\\epsilon''') "", 10: ""R^{\\max}_S(\\mathcal{E'}_{\\mathcal{Z},A_0})\\leq p\\cdot q \\cdot (n-t')\\cdot r \\cdot w \\cdot (1+\\delta _4)"", 11: ""{\\label{fruita}}U^{j}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})\\equiv \\dfrac{R^{j}_{T}(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})}{R^{j}_{S}(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})}  \\leq \\dfrac{\\sum_{l:P_l\\in T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})} +\\delta\\cdot \\dfrac{\\sum_{l:P_l\\in S\\setminus T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}"", 12: '{\\label{fruit2}}U^{min}_T(\\mathcal{E}_{\\mathcal{Z},H_T})\\geq (1 -\\delta)\\cdot \\dfrac{\\sum_{l:P_l\\in T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}', 13: "" U^{min}_T(\\mathcal{E}_{\\mathcal{Z},H_T}) \\geq  q \\cdot t'\\cdot p_f \\cdot r \\cdot(1-\\delta_1)\\cdot w_f - c\\cdot q\\cdot t' \\cdot r \\geq   q \\cdot t'\\cdot p_f \\cdot r \\cdot(1-\\delta_1)\\cdot w_f \\cdot (1- \\phi) >0"", 14: "" U^{\\max}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}}) \\leq  (q \\cdot t'-x)\\cdot p_f \\cdot r \\cdot(1+\\delta_1)\\cdot w_f - c\\cdot (q\\cdot t'-x)  \\cdot r\\leq  q \\cdot t'\\cdot p_f \\cdot r \\cdot(1+\\delta_1)\\cdot w_f - c\\cdot q\\cdot t'  \\cdot r"", 15: ""{\\label{fruita}}U^{j}_T(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})\\equiv \\dfrac{R^{j}_{T}(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})}{R^{j}_{S}(\\mathcal{E'}_{\\mathcal{Z},\\mathcal{A}})}  \\leq \\dfrac{\\sum_{l:P_l\\in T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})} +\\delta\\cdot \\dfrac{\\sum_{l:P_l\\in S\\setminus T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}"", 16: '{\\label{fruit2}}U^{min}_T(\\mathcal{E}_{\\mathcal{Z},H_T})\\geq (1 -\\delta)\\cdot \\dfrac{\\sum_{l:P_l\\in T}C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}{\\sum_{l:P_l\\in S} C_{l}(\\mathcal{E}_{\\mathcal{Z},H_T})}'}"
2001.00048,{}
2001.00051,"{0: '    sim_{cosine}(\\mathbf{s}_i, \\mathbf{s}_j) = \\frac{\\mathbf{s}_i \\cdot \\mathbf{s}_j}{\\abs{\\mathbf{s}_i} \\times \\abs{\\mathbf{s}_j}}', 1: '    Hamming\\; Loss = \\frac{1}{|D|} \\sum\\limits_{i=1}^{|D|} \\frac{S_i \\oplus Y_i}{|L|},'}"
2001.00053,{}
2001.00056,"{0: '   \\mathrm{Attention}(\\textbf{Q}, \\textbf{K}, \\textbf{V}) = \\mathrm{softmax}\\left(\\frac{\\textbf{Q}\\textbf{K}^\\mathrm{T}}{\\sqrt{\\mathrm{d_k}}}\\right)\\textbf{V}', 1: '    \\mathrm{MultiHead}(\\textbf{Q}, \\textbf{K}, \\textbf{V}) = \\mathrm{Concat}(\\textbf{H}_1, ..., \\textbf{H}_h)\\textbf{W}^O', 2: '    \\text{where }\\textbf{H}_i = \\mathrm{Attention}(\\textbf{QW}^Q_i, \\textbf{KW}^K_i, \\textbf{VW}^V_i)', 3: '    Loss = \\frac{1}{N}\\sum_{n=1}^N \\mathcal{L}(\\mathbf{p}_n)', 4: '    \\mathcal{L}_{\\text{point}}(\\mathbf{p}_n) = \\frac{1}{m_n}\\sum_{k=1}^{m_n} (y_k-z_k)^2', 5: '        P_n(s_k) = \\frac{\\exp(y_k)}{\\sum_{i=1}^{m_n} \\exp(y_i)}    ', 6: '    \\hat{P}_n(s_k) = \\frac{\\exp(z_k)}{\\sum_{i=1}^{m_n} \\exp(z_i)}    ', 7: '        \\mathcal{L}_{\\text{Net}}(\\mathbf{p}_n)=         -\\sum_{k=1}^{m_n}P_n(s_k)\\log \\hat{P}_n(s_k)    '}"
2001.00057,{}
